address,price_pcm,price_per_week,let_available_date,furnish_type,property_type,bedrooms,bathrooms,postcode
"St. Leonards Gate, Lancaster",1083.0,250.0,2025-09-01 00:00:00,Furnished,Private Halls,1,1.0,
"53 South Road, Lancaster",1083.0,250.0,2025-09-22 00:00:00,,House Share,1,1.0,
"Thurnham Street, Lancaster",1083.0,250.0,2025-08-01 00:00:00,,House Share,1,1.0,
"Lancaster, LA1, Mallard Court, P1568",1075.0,248.0,2024-11-17 00:00:00,Unfurnished,House,3,1.0,LA1
"Mallard Court, Lancaster",1075.0,248.0,2024-11-17 00:00:00,Unfurnished,House,3,1.0,
"Ullswater Road, Lancaster",1050.0,242.0,2024-11-17 00:00:00,Part furnished,House,3,2.0,
"Primrose Street, Lancaster, Lancashire, LA1",1050.0,242.0,2024-11-17 00:00:00,Unfurnished,Terraced,4,1.0,LA1
"Friar Street, Lancaster",1049.0,242.0,2025-09-01 00:00:00,Furnished,Private Halls,1,1.0,
"Church Street, Lancaster",477.0,110.0,2024-11-17 00:00:00,,House Share,1,1.0,
"St Leonardsgate, Lancaster, LA1",900.0,208.0,2024-11-17 00:00:00,Furnished,Flat,1,1.0,LA1
"Rosemary Lane, Lancaster",862.0,199.0,2024-11-17 00:00:00,,House Share,1,1.0,
"Student House Share - Tarbet Street, Lancaster",650.0,150.0,2025-08-05 00:00:00,Furnished,End of Terrace,3,3.0,
"House Share - Studio Rooms - Balmoral Road, Lancaster",800.0,185.0,,Furnished,Terraced,6,6.0,
7 Park Square,932.0,215.0,2025-09-01 00:00:00,,Private Halls,1,1.0,
"2 Hastings Road, Lancaster",516.0,119.0,2025-09-01 00:00:00,Furnished,Private Halls,5,2.0,
"Ullswater Road, Lancaster",932.0,215.0,2025-09-01 00:00:00,Furnished,Private Halls,1,1.0,
5 Park Square,910.0,210.0,2025-09-01 00:00:00,Furnished,Private Halls,1,1.0,
"9 Bed HMO - St. Leonards Gate, Lancaster",542.0,125.0,2025-09-01 00:00:00,,Private Halls,9,6.0,
6 Park Square,910.0,210.0,2025-09-01 00:00:00,,Private Halls,1,1.0,
"Lancaster, LA1, Ulster Road, P4479",975.0,225.0,2024-11-17 00:00:00,Unfurnished,House,3,1.0,LA1
"St. Leonards Gate, Lancaster",1018.0,235.0,2025-09-01 00:00:00,Furnished,Private Halls,1,1.0,
"St. Leonards Gate, Lancaster",1018.0,235.0,2025-09-01 00:00:00,Furnished,Private Halls,1,1.0,
"St. Leonards Gate, Lancaster",1040.0,240.0,2025-09-01 00:00:00,Furnished,Private Halls,1,1.0,
"Torrisholme Road, Lancaster, LA1",900.0,208.0,2024-11-17 00:00:00,Unfurnished,Semi-Detached,3,2.0,LA1
"St. Leonards Gate, Lancaster",3250.0,750.0,2025-09-01 00:00:00,Furnished,Private Halls,5,5.0,
"St. Leonards Gate, Lancaster",4030.0,930.0,2025-09-01 00:00:00,Furnished,Private Halls,6,6.0,
"Flat1, 2 Stonewell, Lancaster",1170.0,270.0,2025-09-01 00:00:00,,Private Halls,1,1.0,
"Stonewell, Lancaster",2145.0,495.0,2025-09-01 00:00:00,Furnished,Private Halls,3,3.0,
"Pitt Street, Lancaster",585.0,135.0,2025-09-01 00:00:00,Furnished,Private Halls,5,2.0,
"Pitt Street, Lancaster",607.0,140.0,2025-09-01 00:00:00,Furnished,Private Halls,4,2.0,
"Flat 6, 10 Pitt Street, Lancaster",650.0,150.0,2025-09-01 00:00:00,Furnished,Private Halls,5,2.0,
