address,price_pcm,price_per_week,let_available_date,furnish_type,property_type,bedrooms,bathrooms,council_tax,let_type,postcode
"Leetham House, Leetham Lane, York, YO1",1050.0,242.0,2024-12-12 00:00:00,Furnished,Apartment,1.0,1.0,,Long term,YO1
"Shelley House, Acomb Road, York, YO24",1050.0,242.0,2024-11-17 00:00:00,Unfurnished,Flat,2.0,2.0,C,Long term,YO24
"Argyle Street, York",1000.0,231.0,2024-12-20 00:00:00,Unfurnished,Terraced,2.0,1.0,B,Long term,
"Stonegate Court, Blake Street, York, YO1 8QF",1300.0,300.0,2024-11-18 00:00:00,Unfurnished,Flat,1.0,1.0,,Long term,YO1
"Tannery Mews, Lawrence Street, York",1200.0,277.0,,Furnished,Duplex,2.0,1.0,C,Long term,
"Heworth Village, York, YO31",1700.0,392.0,2024-11-30 00:00:00,Unfurnished,Terraced,3.0,2.0,D,Long term,YO31
"Strand House, Piccadilly Plaza, York, YO1",975.0,225.0,2024-12-07 00:00:00,Unfurnished,Flat,1.0,1.0,C,Long term,YO1
"East Parade, Heworth",1250.0,288.0,2024-12-10 00:00:00,Unfurnished,Terraced,3.0,2.0,D,Long term,
"Russet House, Birch Close, Huntington, York, YO31",1000.0,231.0,2025-01-17 00:00:00,Furnished,Apartment,2.0,1.0,B,Long term,YO31
"Beckett Drive, Osbaldwick, York, YO19 5RX",1100.0,254.0,2024-11-29 00:00:00,Unfurnished,Flat,2.0,1.0,,Long term,YO19
"20 Herbert Street, York",1550.0,358.0,2025-01-06 00:00:00,"Furnished or unfurnished, landlord is flexible",End of Terrace,4.0,1.0,TBC,Long term,
"Cranbrook Road, Acomb, York",650.0,150.0,2024-11-29 00:00:00,Part furnished,Apartment,1.0,1.0,A,Long term,
"Bishopthorpe Road, York, North Yorkshire, YO23",1950.0,450.0,,Furnished,Apartment,2.0,,,Long term,YO23
Ashville Street,995.0,230.0,2024-12-16 00:00:00,Unfurnished,Terraced,2.0,1.0,B,Long term,
"Bellerby Court, Hungate, York, YO1",950.0,219.0,2024-11-22 00:00:00,Unfurnished,Flat,1.0,1.0,C,Long term,YO1
"Ripon Croft, York, North Yorkshire, YO31",1000.0,231.0,2024-11-17 00:00:00,Part furnished,Apartment,2.0,1.0,TBC,Long term,YO31
"Hull Road, York, YO10",615.0,142.0,2024-12-16 00:00:00,Furnished,House Share,1.0,,TBC,Long term,YO10
"William Court, Blue Bridge Lane, York, YO10",1700.0,392.0,2024-12-09 00:00:00,Unfurnished,House,3.0,2.0,E,Long term,YO10
"Bootham Crescent, York, North Yorkshire, YO30",1300.0,300.0,2024-11-17 00:00:00,Unfurnished,Apartment,2.0,1.0,C,Long term,YO30
"Bootham Crescent, York, North Yorkshire, YO30",1300.0,300.0,2024-11-17 00:00:00,Unfurnished,Apartment,2.0,1.0,TBC,Long term,YO30
"Esk Drive, Nether Poppleton",875.0,202.0,2024-11-17 00:00:00,Unfurnished,Apartment,2.0,2.0,C,Short term,
"Church Gate, York",1250.0,288.0,2024-12-07 00:00:00,Unfurnished,Semi-Detached,3.0,1.0,C,Long term,
Centurion Square,995.0,230.0,2024-12-17 00:00:00,Furnished,Ground Flat,1.0,1.0,,Long term,
"Glencoe Street, York, YO30",925.0,213.0,2024-11-18 00:00:00,Furnished,Flat,1.0,1.0,A,Long term,YO30
