address,price_pcm,price_per_week,let_available_date,furnish_type,property_type,bedrooms,bathrooms,garden,postcode
"Derby Road, Loughborough, LE11",425.0,98.0,2024-12-14 00:00:00,Furnished,House Share,1,1.0,Yes,LE11
"Derby Road, Loughborough, LE11",800.0,185.0,2024-12-02 00:00:00,Furnished,House Share,1,1.0,Yes,LE11
"Forest Road, Loughborough, LE11",650.0,150.0,2024-12-09 00:00:00,Furnished,Flat Share,1,2.0,Yes,LE11
"Albert Place, Loughborough - INC BILLS OPTION",390.0,90.0,2025-07-01 00:00:00,Furnished,,4,2.0,,
Granville Street,925.0,213.0,2024-11-17 00:00:00,Part furnished,Terraced,3,1.0,Yes,
"Granville Street, Loughborough",925.0,213.0,2024-11-17 00:00:00,,Terraced,3,1.0,Yes,
"Purnell Walk, Loughborough",1100.0,254.0,,Unfurnished,Semi-Detached,3,1.0,Yes,
"Laurel Road , Loughborough",850.0,196.0,2024-11-17 00:00:00,Unfurnished,Terraced,2,1.0,Yes,
"Nanpantan Road, Loughborough, LE11 3YE",1000.0,231.0,2024-11-18 00:00:00,Unfurnished,House,2,2.0,Yes,LE11
"Aitken Way, Loughborough",1300.0,300.0,,Unfurnished,Detached,3,2.0,Yes,
"Havelock Street, Loughborough, LE11",607.0,140.0,2025-08-01 00:00:00,Furnished,Flat,4,3.0,,LE11
"Knipton Drive, Loughborough, LE11 4ER",950.0,219.0,2024-11-30 00:00:00,"Furnished or unfurnished, landlord is flexible",,1,1.0,,LE11
"Beacon Road, Loughborough, LE11",650.0,150.0,2025-08-01 00:00:00,Furnished,Detached,4,1.0,Private garden,LE11
"Kirkstone Drive, Loughborough, LE11 3RN",995.0,230.0,2024-11-17 00:00:00,Unfurnished,Semi-Detached,3,1.0,,LE11
"Francis Drive, Loughborough, LE11",925.0,213.0,2024-11-17 00:00:00,Unfurnished,Semi-Detached,3,1.0,Private garden,LE11
"Ashby Road, Loughborough - INC BILLS OPTION",780.0,180.0,2025-07-01 00:00:00,Furnished,Flat,1,1.0,,
"Ashby Road, Loughborough - INC BILLS",758.0,175.0,2025-07-01 00:00:00,Furnished,Flat,3,1.0,,
"Highland Drive, Loughborough, LE11 2HU",1500.0,346.0,2024-11-17 00:00:00,Unfurnished,Detached,4,2.0,Yes,LE11
Hastings Street,625.0,144.0,2025-08-25 00:00:00,Furnished,House Share,4,,Yes,
"Market Street, LOUGHBOROUGH",670.0,155.0,2024-11-17 00:00:00,Furnished,Flat,1,1.0,,
Wharncliffe Road,680.0,157.0,2024-11-17 00:00:00,Unfurnished,Flat,1,1.0,,
"Paget Street, Loughborough - INC BILLS OPTION",520.0,120.0,2025-07-01 00:00:00,Furnished,House of Multiple Occupation,4,2.0,Yes,
"New Ashby Road, Loughborough, LE11",1733.0,400.0,2025-07-01 00:00:00,Furnished,House Share,4,1.0,Yes,LE11
"Maple Road, Loughborough, Leicestershire, LE11",1200.0,277.0,2024-11-17 00:00:00,Unfurnished,Semi-Detached,3,1.0,Yes,LE11
"New Ashby Road, Loughborough,",585.0,135.0,2025-07-02 00:00:00,Furnished,House,5,2.0,Yes,
